symbol,alias
21STCENMGM.NS,2CMS
21STCENMGM.NS,21st Century Management Services
21STCENMGM.NS,21stCenturyManagementServicesLtd
21STCENMGM.NS,21stCenturyManagementServicesLimited
21STCENMGM.NS,21st Century Management Services Limited
21STCENMGM.NS,21stCenturyManagementServices
21STCENMGM.NS,21STCENMGM
21STCENMGM.NS,21st Century Management Services Ltd
21STCENMGM.NS,21STCENMGM.NS
360ONE.NS,360ONE.NS
360ONE.NS,360 ONE WAM
360ONE.NS,360ONEWAMLtd
360ONE.NS,360 ONE WAM Ltd
360ONE.NS,360 ONE WAM LIMITED
360ONE.NS,360ONEWAMLIMITED
360ONE.NS,360ONEWAM
360ONE.NS,OW
360ONE.NS,360ONE
3IINFOLTD.NS,3i Infotech Limited
3IINFOLTD.NS,3I
3IINFOLTD.NS,3i Infotech Ltd
3IINFOLTD.NS,3IINFOLTD.NS
3IINFOLTD.NS,3iInfotechLtd
3IINFOLTD.NS,3IINFOLTD
3IINFOLTD.NS,3iInfotechLimited
3IINFOLTD.NS,3i Infotech
3IINFOLTD.NS,3iInfotech
3MINDIA.NS,3M India Limited
3MINDIA.NS,3MIndiaLtd
3MINDIA.NS,3MINDIA
3MINDIA.NS,3MINDIA.NS
3MINDIA.NS,3MIndiaLimited
3MINDIA.NS,3M India
3MINDIA.NS,3M India Ltd
3MINDIA.NS,3
3MINDIA.NS,3MIndia
3PLAND.NS,3PLAND.NS
3PLAND.NS,3P Land Holdings Limited
3PLAND.NS,3P Land Holdings Ltd
3PLAND.NS,3PLandHoldings
3PLAND.NS,3LH
3PLAND.NS,3PLAND
3PLAND.NS,3P Land Holdings
3PLAND.NS,3PLandHoldingsLtd
3PLAND.NS,3PLandHoldingsLimited
5PAISA.NS,5C
5PAISA.NS,5Paisa Capital
5PAISA.NS,5PAISA.NS
5PAISA.NS,5Paisa Capital Limited
5PAISA.NS,5PaisaCapital
5PAISA.NS,5PaisaCapitalLimited
5PAISA.NS,5PaisaCapitalLtd
5PAISA.NS,5Paisa Capital Ltd
5PAISA.NS,5PAISA
63MOONS.NS,63MOONS
63MOONS.NS,63MOONS.NS
63MOONS.NS,63moonstechnologieslimited
63MOONS.NS,63moonstechnologies
63MOONS.NS,63 moons technologies Ltd
63MOONS.NS,MT
63MOONS.NS,63moonstechnologiesLtd
63MOONS.NS,63 moons technologies limited
63MOONS.NS,63 moons technologies
A2ZINFRA.NS,A2Z Infra Engineering
A2ZINFRA.NS,A2Z Infra Engineering Ltd
A2ZINFRA.NS,A2ZINFRA
A2ZINFRA.NS,A2ZInfraEngineeringLimited
A2ZINFRA.NS,A2ZInfraEngineeringLtd
A2ZINFRA.NS,A2Z Infra Engineering Limited
A2ZINFRA.NS,AIE
A2ZINFRA.NS,A2ZINFRA.NS
A2ZINFRA.NS,A2ZInfraEngineering
AAATECH.NS,AAA Technologies Ltd
AAATECH.NS,AAATechnologiesLimited
AAATECH.NS,AAA Technologies Limited
AAATECH.NS,AAATechnologies
AAATECH.NS,AAATechnologiesLtd
AAATECH.NS,AAATECH.NS
AAATECH.NS,AT
AAATECH.NS,AAA Technologies
AAATECH.NS,AAATECH
AADHARHFC.NS,AADHARHFC
AADHARHFC.NS,AHF
AADHARHFC.NS,Aadhar Housing Finance Limited
AADHARHFC.NS,AADHARHFC.NS
AADHARHFC.NS,AadharHousingFinanceLimited
AADHARHFC.NS,Aadhar Housing Finance
